Name,Listing id,Price,Link
Used 2011 Lexus RX 350 AWD,574832137,"17,980",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574832137
Used 2017 Lexus RX 350 AWD,574862407,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574862407
Used 2018 Lexus NX 300 AWD,574862409,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574862409
Used 2016 Lexus IS 200t,574758490,"25,900",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574758490
Used 2007 Lexus RX 350 2WD,574766516,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574766516
Used 2002 Lexus ES 300,574770607,"3,999",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574770607
Used 2020 Lexus NX 300 AWD w/ Luxury Package,574801482,"45,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574801482
Used 2018 Lexus GX 460,574838520,"40,900",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574838520
Used 2015 Lexus RX 350 AWD,574838514,"20,900",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574838514
Used 2017 Lexus RX 350 AWD,571739243,"32,950",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571739243
Used 2019 Lexus NX 300 FWD,573702644,"30,837",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573702644
Used 2017 Lexus RX 350 FWD,574860268,"33,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574860268
Used 2018 Lexus RC 350,574740163,"40,740",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574740163
Used 2018 Lexus NX 300 FWD,574817890,"28,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574817890
Used 2008 Lexus RX 350 2WD,574817362,"7,949",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574817362
Used 2016 Lexus RX 350 AWD F Sport,573173393,"33,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573173393
Used 2011 Lexus GX 460,568902961,"18,249",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568902961
Used 2008 Lexus RX 350 AWD,574827033,"9,495",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574827033
Used 2013 Lexus RX 350 AWD,574829313,"15,950",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574829313
Used 2018 Lexus GS 350,574862774,"36,998",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574862774
Used 2017 Lexus IS 300 AWD,574874559,"35,999",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574874559
Used 2019 Lexus GX 460,574844909,"40,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574844909
Used 2017 Lexus RX 350 AWD,574862429,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574862429
Used 2019 Lexus GX 460,574876018,"45,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574876018
Used 2018 Lexus ES 350,566643316,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566643316
