Name,Listing id,Price,Link,Year,Age
Used 2013 Lexus RX 350 AWD,569072894,19998,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569072894,2013,8
Used 2015 Lexus RX 350 AWD,569100880,20988,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569100880,2015,6
Used 2016 Lexus RX 350 AWD F Sport,569037689,27000,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569037689,2016,5
Used 2012 Lexus IS 250,567939533,11498,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567939533,2012,9
Used 2019 Lexus ES 350,569089357,37998,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569089357,2019,2
Used 2015 Lexus IS 350,567997033,22800,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567997033,2015,6
Used 2008 Lexus RX 350 AWD,569263511,6990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569263511,2008,13
Used 2012 Lexus IS 250C,568129253,17485,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568129253,2012,9
Used 2014 Lexus LX 570 4WD,569201777,41995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569201777,2014,7
Used 2017 Lexus RX 350 AWD,569290088,37995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569290088,2017,4
Used 2008 Lexus RX 350 2WD,569263510,9490,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569263510,2008,13
Used 2014 Lexus RX 350 FWD,567810734,15900,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567810734,2014,7
Used 2013 Lexus LX 570 4WD,571511824,36500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571511824,2013,8
Used 2018 Lexus NX 300 FWD,567885724,29900,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567885724,2018,3
Used 2017 Lexus IS 350,568756368,33999,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568756368,2017,4
Used 2009 Lexus RX 350 AWD,570121386,10995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570121386,2009,12
